BẢNG BÁO CÁO NGHIỆM THU HIỆU CHỈNH HỆ THỐNG WEBSITE FAI (NGÀY 11/09/2026),,,,,,,,,
STT,Trang,URL Kiểm thử,Yêu cầu hiệu chỉnh (tab 10/09),Hiện trạng trước sửa (Before),Kết quả xử lý nghiệm thu (After),Trạng thái,Ảnh minh chứng Before / After,Ghi chú kỹ thuật,
1,Trang chủ,https://fai-gamma.vercel.app/,Nút CTA khối Bold CTA trỏ link xuống form tuyển sinh,Nút trỏ tới /tuyen-sinh thông thường,Đã sửa link trỏ thẳng vào /tuyen-sinh#dang-ky và cập nhật text 'Đăng ký tư vấn',ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 01_trang_chu_bold_cta.png
After: 01_trang_chu_bold_cta.png",ÉT2,ÉT1
2,Trang chủ,https://fai-gamma.vercel.app/,Nút CTA khối TrustBar trỏ link xuống form tuyển sinh,Nút trỏ tới /tuyen-sinh chung,Đã đổi link CTA sang /tuyen-sinh#dang-ky,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 01_trang_chu_bold_cta.png
After: 01_trang_chu_bold_cta.png",Đã khớp chuẩn luồng điều hướng,C3
3,Trang chủ,https://fai-gamma.vercel.app/,Footer - Link 'Liên hệ' bấm vào dẫn ra trang /lien-he,Link liên hệ chưa đồng bộ trang đích,Đã cập nhật đúng href='/lien-he' trong toàn bộ Footer,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 02_trang_chu_footer_lien_he.png
After: 02_trang_chu_footer_lien_he.png",Hoàn tất điều hướng Footer,https://fai-gamma.vercel.app/
4,Tuyển sinh,https://fai-gamma.vercel.app/tuyen-sinh#dang-ky,"Sửa toàn bộ nội dung text & label form tuyển sinh:
- Badge: HỖ TRỢ TƯ VẤN TUYỂN SINH
- Tiêu đề: Đăng ký nhận tư vấn trực tuyến 2026
- Mô tả: Điền thông tin bên dưới, tư vấn sẽ liên lạc hỗ trợ bạn về chương trình học và học bổng
- Label: Họ và tên, Cơ sở
- Nút: ĐĂNG KÝ TƯ VẤN","Hiển thị 'XÉT TUYỂN TRỰC TIẾP', 'Họ và tên thí sinh', 'Cơ sở đăng ký học tập', 'Gửi hồ sơ đăng ký xét tuyển 2026'",Đã cập nhật chuẩn 100% theo đúng từng câu chữ yêu cầu,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 05_tuyen_sinh_form.png
After: 05_tuyen_sinh_form.png",Đã test gửi form lead qua Google Sheets API hoạt động mượt mà,https://fai-gamma.vercel.app/tuyen-sinh#dang-ky
5,Trang chủ,https://fai-gamma.vercel.app/,Thay banner của Chip Design 1 trong 3 ảnh tại Drive: 1azq3cfPds4Q5fnvbKL68rTYqmAdCxc6V,Link Google Drive bị khóa quyền riêng tư (Access Denied 404),Đã chuẩn bị sẵn cấu hình thay thế banner trong code,CHỜ QUYỀN TRUY CẬP DRIVE,Thư mục Drive chưa public cho tài khoản vietndj@gmail.com,Cần mở share Drive để tải asset ảnh gốc thay ngay trong 1 phút,https://fai-gamma.vercel.app/
6,Trang chủ,https://fai-gamma.vercel.app/,Nút CTA Testimonials trỏ link xuống form tuyển sinh,Link trỏ /tuyen-sinh thông thường,Đã đổi link sang /tuyen-sinh#dang-ky,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 01_trang_chu_bold_cta.png
After: 01_trang_chu_bold_cta.png",Đã test hoạt động tốt,https://fai-gamma.vercel.app/
7,Trang chủ,https://fai-gamma.vercel.app/,"Đổi text 'Đăng ký nhập học 2026' -> 'Đăng ký tư vấn', click ra /tuyen-sinh#dang-ky",Text cũ 'Đăng ký nhập học 2026',Đã đổi thành 'Đăng ký tư vấn' và trỏ link /tuyen-sinh#dang-ky,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 01_trang_chu_bold_cta.png
After: 01_trang_chu_bold_cta.png",Hoàn tất,https://fai-gamma.vercel.app/
8,Trang chủ,https://fai-gamma.vercel.app/,Đổi 'Cam kết đầu ra' -> 'Cam kết việc làm toàn diện',Eyebrow cũ 'CAM KẾT ĐẦU RA',Đã đổi thành 'CAM KẾT VIỆC LÀM TOÀN DIỆN',ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 03_trang_chu_partner_marquee.png
After: 03_trang_chu_partner_marquee.png",Hiển thị sắc nét,https://fai-gamma.vercel.app/
9,Trang chủ,https://fai-gamma.vercel.app/,Khắc phục trùng lặp logo đối tác: 2 dòng chạy không trùng lặp đối tác cùng lúc,Cả 2 hàng cùng lặp lại chung 1 mảng đối tác gây trùng nhau khi cuộn,Đã tách toàn bộ 28 đối tác thành 2 mảng độc lập (mỗi hàng 14 đối tác riêng biệt),ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 03_trang_chu_partner_marquee.png
After: 03_trang_chu_partner_marquee.png","Animation marquee mượt mà, không trùng lặp logo",https://fai-gamma.vercel.app/
10,Trang chủ,https://fai-gamma.vercel.app/,"CTA đối tác: Đổi 'Xem tất cả đối tác tuyển dụng' -> 'Xem thêm kết nối doanh nghiệp và FAI', click trỏ sang /doi-song#enterprise",Text cũ 'Xem tất cả đối tác tuyển dụng' trỏ /doi-song,"Đã cập nhật đúng text và trỏ link chuẩn /doi-song#enterprise


",ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 03_trang_chu_partner_marquee.png
After: 03_trang_chu_partner_marquee.png",Đã kiểm tra chuyển trang tới đúng khối doanh nghiệp,https://fai-gamma.vercel.app/
